lapCount,lapTime ms,lapTime str,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,description,,,,,,,,,,,,,,,
1,1367452,22:47.5,0,110.84697723388672,0,0,5,3911.864501953125,-2.471567154,1902.192138671875,-18.92214584,-2064.179932,left start,,1,1368934,22:48.9,0,111.35610961914062,0.29411765933036804,0,5,3963.622559,2.109041929244995,1869.0877685546875,-19.50850677,-2033.088989,end
1,1383593,23:03.6,0,110.4870376586914,0.14509804546833038,0,5,3910,0.899902344,1507.634033203125,-17.47075081,-1721.546509,right start,,1,1384627,23:04.6,0,109.82464599609375,0.14901961386203766,0,5,3886,-3.378466845,1482.499512,-16.99350166,-1702.327026,end
1,1387949,23:07.9,0,107.81047821044922,0.14901961386203766,0,5,3814,-3.231342077,1406.581298828125,-15.42047596,-1636.549438,left start,,1,1388743,23:08.7,0,107.16436004638672,0.15294118225574493,0,5,3792,8.09375,1389.8902587890625,-14.93126774,-1619.723267,end
1,1395758,23:15.8,0,123.1890869140625,0.35686275362968445,0,5,4388.621582,2.8370110988616943,1226.15332,-9.241296768,-1478.739136,right start,,1,1396889,23:16.9,0,126.0056381225586,0,0,5,4440,-0.08996582,1195.146973,-8.196331978,-1454.448608,end
1,1399534,23:19.5,0,116.90945434570312,0,0,5,4120,-7.586509705,1127.864501953125,-5.737393379,-1395.888184,left start,,1,1400513,23:20.5,0,113.73555755615234,0,0,5,4010.519531,1.124023438,1106.321044921875,-4.939279556,-1373.151001,end Curve
1,1410428,23:30.4,0,99.57164001464844,0,0,5,3515.662109,-3.216124296,954.8881225585938,-1.338452101,-1107.413452,right start,,1,1411057,23:31.1,0,98.71450043,0.14509804546833038,0,4,4460,-16.015625,949.2824096679688,-1.191622138,-1091.053711,end Curve
1,1415115,23:35.1,0,107.27725982666016,0.22745098173618317,0,4,4870.438477,-8.437335014,937.2441406,-0.935945809,-976.8564453,left start,,1,1416220,23:36.2,0,110.01641845703125,0.22745098173618317,0,4,4989.268066,10.272669792175293,938.9843139648438,-0.909665108,-943.5238647,end SlightCurve
1,1419764,23:39.8,0,106.71778106689453,0.078431375,0,4,4813.857422,-0.186282635,938.4448852539062,-0.826398075,-835.7426758,right start,,1,1420708,23:40.7,0,105.50727844238281,0.13523584604263306,0,4,4768,-7.46875,936.5453491210938,-0.918221295,-807.9783325,end
1,1424157,23:44.2,0,110.0889663696289,0.20392157137393951,0,4,4988,-8.151089668,936.4540405273438,-1.248027086,-704.9546509,left start,,1,1425209,23:45.2,0,112.17090606689453,0.2666666805744171,0,4,5098.22168,6.4765625,938.3250122070312,-1.264502287,-672.5570068,end
1,1437576,23:57.6,0,106.73160552978516,0,0,4,4803.822266,4.484129905700684,945.5856934,6.7762932777404785,-241.3722382,right start,,1,1438722,23:58.7,0,104.9706802368164,0.1568627506494522,0,4,4744,-5.321729183,944.7383422851562,6.878354549407959,-207.7975616,end SlightCurve
1,1442652,24:02.7,0,113.77071380615234,0.2235294133424759,0,4,5160,2.590780258178711,946.0838012695312,6.567215919494629,-88.5918808,left start,,1,1446458,24:06.5,0,121.74420928955078,0.21176470816135406,0,4,5508.654297,0.854980469,945.3809814453125,6.0590362548828125,36.0799675,end SlightCurve
1,1447695,24:07.7,0,123.43519592285156,0.21176470816135406,0,4,5596,3.3165276050567627,942.5669555664062,5.891817092895508,78.15042877197266,right start,,1,1448758,24:08.8,0,125.03141784667969,0.12353754043579102,0,4,5640.003418,-4.722730637,938.3378906,5.745771408081055,114.61625671386719,end Curve
1,1452097,24:12.1,0,114.73015594482422,0,0,4,5163.740723,-9.189888,934.2509155273438,5.296163082122803,225.6690216064453,left start,,1,1453342,24:13.3,0,111.0808105,0,0,4,5000,3.689453125,936.0327758789062,5.143154621124268,264.6726074,end
1,1457545,24:17.5,0,104.66156768798828,0.090196081,0,4,4724,3.2312228679656982,935.6482543945312,5.313448429107666,390.3466797,right start,,1,1459020,24:19.0,0,102.96460723876953,0.12258804589509964,0,4,4650.52002,-2.744140625,933.6430664,5.450516223907471,432.8347473144531,end
1,1467052,24:27.1,0,106.34716033935547,0,0,4,4788,-12.01326084,933.1425781,6.253165245056152,695.8438110351562,left start,,1,1467957,24:28.0,0,103.63098907470703,0,0,4,4666.328125,11.622386932373047,935.0556030273438,6.325108051300049,722.1506958007812,end
1,1475208,24:35.2,0,107.2163314819336,0,0,4,4824.662109,2.7289633750915527,934.2804565429688,6.862725734710693,932.5244750976562,right start,,1,1476075,24:36.1,0,104.80985260009766,0,0,4,4720,-6.74609375,932.3361816,6.812438011169434,957.9885864257812,end
1,1480883,24:40.9,0,96.18992614746094,0.082352944,0,4,4340,1.7833690643310547,932.2593994140625,6.613299847,1091.366211,left start,,1,1482162,24:42.2,0,95.14052582,0.18039216101169586,0,4,4308,1.079101563,934.0421752929688,6.906748294830322,1125.238525390625,end
1,1506876,25:06.9,0,117.54820251464844,0,0,4,5284.39209,7.951444625854492,1052.73584,9.914118766784668,1930.3504638671875,right start,,1,1507583,25:07.6,0,115.2925033569336,0,0,4,5188,-20.25017166,1056.9219970703125,9.868285179138184,1952.8309326171875,end
1,1511729,25:11.7,0,106.2094727,0.11764705926179886,0,4,4798.325195,6.090793132781982,1090.9510498046875,11.503960609436035,2074.564697265625,left start,,1,1513122,25:13.1,0,104.42735290527344,0.1780417114496231,0,4,4724,2.6273722648620605,1103.5189208984375,12.709942817687988,2113.215087890625,end
1,1522369,25:22.4,0,117.14334106445312,0.027162798,0,4,5272,2.4045724868774414,1182.975586,22.10099220275879,2400.620361328125,right start,,1,1523514,25:23.5,0,115.39675903320312,0.16862745583057404,0,4,5212,-4.238037109,1190.938720703125,22.816173553466797,2436.622314453125,end
1,1529850,25:29.8,0,110.53496551513672,0.074509807,0,4,4984,5.400538444519043,1244.4063720703125,18.513803482055664,2628.753662109375,left start,,1,1530942,25:30.9,0,109.81513214111328,0.078431375,0,4,4952,2.87890625,1255.022461,17.40664291381836,2660.423583984375,end
1,1535142,25:35.1,0,111.41184997558594,0,0,4,5022.163086,2.5135738849639893,1289.3594970703125,13.105175018310547,2784.853516,right start,,1,1536411,25:36.4,0,109.09762573242188,0,0,4,4908,-2.20412612,1297.8734130859375,11.809728622436523,2822.739501953125,end
1,1538455,25:38.5,0,105.60629272460938,0,0,4,4754.723145,-4.647778034,1314.251220703125,9.776896476745605,2881.426758,left start,,1,1539534,25:39.5,0,103.9336929321289,0.095107347,0,4,4688,3.464662790298462,1324.7254638671875,8.732153893,2910.983154296875,end renzoku Curve
1,1546430,25:46.4,0,95.11416625976562,0,0.1411764770746231,4,4256.539063,-6.718390465,1427.61377,5.608014106750488,3107.756103515625,left start,,1,1547459,25:47.5,0,84.96691131591797,0,0.1411764770746231,4,3810.499755859375,0.033807367,1445.7532958984375,5.523724555969238,3125.975341796875,end Curve
